,match_id,id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,player_id,player_name,position_id,position_name,location_x,location_y,duration,shot_statsbomb_xg,shot_end_location_x,shot_end_location_y,shot_end_location_z,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,opoosition_gk_id,opposition_gk_name,shot_one_on_one,under_pressure,shot_key_pass_id,shot_deflected,shot_first_time,shot_open_goal,shot_redirect
275,69241,09dedc7c-4809-467d-8160-5cd2a9393532,3900,2,00:47:12.054,92,12,16,Shot,195,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,112.8,49.1,0.811136,0.2549787,120.0,38.1,1.3,97,Goal,87,Open Play,40,Right Foot,92,Lob,26627.0,Sergio Aragoneses Almeida,True,,decc0a30-ac15-42e0-9980-c6f9b858b6b1,,,,
276,267464,03c55e24-dc4e-42e4-9c34-8ad9040afb7c,2850,2,00:40:59.716,85,59,16,Shot,160,217,Barcelona,3,From Free Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,114.9,43.5,0.4306,0.54723424,120.0,39.0,0.1,97,Goal,87,Open Play,38,Left Foot,93,Normal,6378.0,Jan Oblak,,,,,True,,
277,69216,31ce3d01-5a21-446a-855e-9defd35021cc,1182,1,00:31:02.325,31,2,16,Shot,56,217,Barcelona,5,Other,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,107.9,40.1,0.5378,0.76,120.0,37.3,1.5,97,Goal,88,Penalty,38,Left Foot,93,Normal,,,,,,,,,
278,9811,fe32385f-f7ea-4a40-9a48-0b401efa04c1,1294,1,00:29:24.849,29,24,16,Shot,52,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,107.7,41.6,0.872,0.30369917,120.0,36.9,0.5,97,Goal,87,Open Play,38,Left Foot,93,Normal,6785.0,Yassine Bounou,,True,3b0a5991-f533-40b3-8c6e-ffdba7db1531,,,,
279,9811,7d0c20af-3f1a-4154-901c-8b2438ef39b1,1477,1,00:35:59.865,35,59,16,Shot,61,217,Barcelona,3,From Free Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,96.7,35.7,1.059,0.107061364,120.0,37.3,0.2,97,Goal,62,Free Kick,38,Left Foot,93,Normal,6785.0,Yassine Bounou,,,,,,,
280,16131,2cbe7cf3-a50e-4e26-93b8-1f60c06fbbac,2405,2,00:07:22.477,52,22,16,Shot,92,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,110.7,30.2,0.92649,0.21369153,120.0,43.1,0.2,97,Goal,87,Open Play,38,Left Foot,93,Normal,10763.0,Asier Riesgo Unamuno,,True,18bdf677-3ab7-4086-8c82-20dc5ef6d772,,,,
281,303451,447c44db-457b-470f-9b57-ebbfc543e91b,773,1,00:16:29.697,16,29,16,Shot,28,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,95.5,48.4,1.039425,0.029638704,120.0,37.5,2.0,97,Goal,87,Open Play,38,Left Foot,93,Normal,24083.0,Manuel Reina Rodríguez,,,6b973725-794b-41bc-87b5-afada15c75bc,,,,
282,303451,819cb3c7-bba6-4244-84db-8b35b356eb52,1804,1,00:40:07.847,40,7,16,Shot,73,217,Barcelona,4,From Throw In,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,99.1,40.4,0.860719,0.059007846,120.0,37.3,0.9,97,Goal,87,Open Play,38,Left Foot,93,Normal,24083.0,Manuel Reina Rodríguez,,,b7fba4c6-1b4b-45a4-9bde-1ebd5bade319,,,,
283,303451,f030e128-6c99-4551-9a9e-2826dd222182,3678,2,00:37:52.489,82,52,16,Shot,165,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,106.1,50.1,0.702861,0.053912394,120.0,43.7,2.4,97,Goal,87,Open Play,38,Left Foot,93,Normal,24083.0,Manuel Reina Rodríguez,,,a869f545-9c01-476e-8769-eb9258d5bf7c,,True,,
284,16023,a9a6b92a-9223-4c0e-a0c0-57659d19fcf5,1033,1,00:22:45.216,22,45,16,Shot,80,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,96.4,40.4,1.45551,0.062675826,120.0,43.1,0.0,97,Goal,87,Open Play,38,Left Foot,93,Normal,6590.0,Norberto Murara Neto,,,f982bc51-71ab-436a-9efb-6bfeee87159e,,True,,
